bromoacetonitrile,bromomalonate,diethyl_thiobarbituric_acid,dimethyl_nitrosoaniline,dimethylisoxazole,ethyl_vinyl_ether,glycidyl_propargyl_ether,hexadienal,indole,phenylboronic_acid,phenylhydrazine,phenylurazole,thiadiazole,tosyl_isocyanide,vinyl_pyrrolidinone,base,acid,pyrylium,rose_bengal,rubypy,prediction
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.12E-02
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6.07E-03
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.060337283
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.841198659
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.005901875
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.819559334
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.84E-02
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,8.87E-02
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81E-01
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0.409023522
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5.83E-01
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.64357436
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.464719674
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2.57E-02
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.042028701
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.956358195
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.459688252
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.158492166
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.027210853
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,2.02E-03
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1.39E-02
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.597431853
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.688353116
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4.63E-02
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.424673092
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.45E-03
