phenyl_isocyanate,benzylamine,cyclopentanone,cinnamaldehyde,sorbic_alcohol,maleic_anhydride,base,prediction
0,1,1,0,1,0,0,0.3095466
0,0,1,1,1,0,1,0.014621721
0,1,1,0,1,0,1,0.24013057
1,0,1,0,0,1,1,0.46501034
1,0,1,0,0,1,0,0.004045969
0,0,0,1,1,1,1,0.106015675
0,0,1,1,1,0,1,0.17316319
0,0,1,1,0,1,0,0.0001458167
1,1,1,0,0,0,0,0.48799297
1,1,0,1,0,0,1,0.41520807
1,0,0,1,0,1,1,0.08196967
0,1,1,1,0,0,1,0.4226324
0,1,0,1,0,1,0,0.7110125
0,0,1,0,1,1,0,0.28906086
0,1,1,1,0,0,0,0.5804415
0,0,1,1,1,0,1,0.5521204
1,1,0,0,0,1,1,0.8751159
1,1,0,0,0,1,1,0.29322913
1,0,0,0,1,1,1,0.63886034
1,0,0,0,1,1,1,0.543996
1,0,0,1,0,1,0,0.00015482063
1,0,0,1,0,1,1,0.2057456
0,0,1,1,0,1,1,0.16982383
1,0,0,1,1,0,1,0.23281157
1,0,1,1,0,0,1,0.07794643
0,1,0,0,1,1,1,0.34984693
0,0,1,1,1,0,1,0.2180286
0,0,0,1,1,1,1,0.25539982
0,1,0,1,0,1,1,0.79936695
0,0,1,1,1,0,0,0.06609197
1,0,1,0,0,1,1,0.33435744
1,0,0,1,0,1,1,0.35645294
0,1,1,0,0,1,1,0.6091018
0,0,1,0,1,1,1,0.20374507
1,1,1,0,0,0,1,0.6018811
1,0,1,1,0,0,0,0.0012506364
0,1,1,0,1,0,1,0.23366435
1,0,0,1,0,1,0,0.17569
0,0,0,1,1,1,0,0.5844222
0,1,1,0,1,0,0,0.23308013
0,1,1,0,0,1,0,0.7147574
0,0,1,1,1,0,0,0.015951809
0,0,0,1,1,1,0,0.6815789
1,0,1,1,0,0,0,1.1714802e-05
0,1,1,1,0,0,0,0.5826791
0,1,0,1,0,1,0,0.7605207
1,0,0,1,0,1,1,0.25882095
0,1,0,0,1,1,0,0.5294674
1,0,0,0,1,1,1,0.6098967
0,1,1,0,1,0,0,0.3050262
0,1,0,0,1,1,1,0.34103754
1,1,0,0,0,1,0,0.5158637
1,0,1,0,0,1,0,0.0022865487
0,1,1,0,1,0,1,0.22425577
0,1,0,1,0,1,0,0.6403498
0,1,1,0,0,1,1,0.6871805
0,1,1,1,0,0,1,0.42752
0,1,1,1,0,0,1,0.48907292
1,0,1,1,0,0,0,0.00019890623
1,0,1,0,0,1,1,0.51462907
1,1,1,0,0,0,0,0.5850847
0,0,1,1,0,1,0,0.00033095063
1,1,0,0,1,0,1,0.7302268
0,1,1,0,0,1,0,0.75060016
0,0,0,1,1,1,0,0.33389935
1,1,0,1,0,0,1,0.63935316
1,0,1,0,1,0,0,0.22392909
0,0,1,1,1,0,0,0.18564492
0,1,1,1,0,0,1,0.41061896
0,1,1,0,1,0,0,0.31004408
0,1,1,0,0,1,1,0.7515043
0,1,1,0,0,1,0,0.85115635
0,0,0,1,1,1,0,0.3808704
0,0,1,1,0,1,0,0.00022043499
0,0,1,0,1,1,0,0.6569246
0,0,1,1,0,1,1,0.020944579
0,0,1,0,1,1,1,0.058783893
1,1,0,1,0,0,1,0.34180054
0,1,1,1,0,0,1,0.47679722
1,0,1,1,0,0,1,0.12754944
1,0,0,1,1,0,0,0.13494585
0,0,1,1,0,1,1,0.022561066
1,0,0,0,1,1,1,0.52831274
0,1,0,1,1,0,0,0.36013275
0,0,1,0,1,1,0,0.5390054
0,0,1,1,1,0,0,0.11259171
0,1,0,1,1,0,0,0.3354598
1,0,1,0,1,0,0,0.7271992
1,0,1,0,1,0,0,0.70811105
1,1,0,0,1,0,0,0.67393124
1,0,1,0,0,1,1,0.6202974
0,1,1,0,0,1,0,0.86407346
1,1,0,0,1,0,1,0.4821684
0,1,0,0,1,1,1,0.40682876
0,1,1,0,1,0,1,0.28239462
1,0,0,1,0,1,1,0.24209039
0,1,1,0,1,0,1,0.29168245
1,0,1,0,1,0,0,0.7343418
0,1,0,1,0,1,0,0.71687317
1,0,1,0,0,1,1,0.57725996
1,0,0,0,1,1,0,0.8236595
0,0,0,1,1,1,1,0.28613368
1,1,0,1,0,0,1,0.52759707
0,1,1,0,0,1,1,0.74347365
1,1,1,0,0,0,0,0.56838495
0,1,1,0,1,0,0,0.337984
1,1,0,0,1,0,0,0.6466877
1,1,0,0,0,1,1,0.74261314
1,0,0,1,1,0,0,0.4436893
0,1,1,1,0,0,1,0.5066684
0,0,1,0,1,1,0,0.5838996
1,0,1,0,0,1,0,0.045570645
1,0,0,1,0,1,1,0.43874097
0,1,0,1,1,0,0,0.41950932
1,0,0,1,1,0,1,0.39151916
0,1,0,1,0,1,1,0.7030784
0,0,1,1,0,1,1,0.07783478
1,1,0,0,1,0,0,0.69257313
0,1,0,0,1,1,0,0.8544257
0,1,0,1,0,1,0,0.47710973
1,0,0,1,0,1,0,0.024472151
